Major Name,Major URL
Plant Biology,https://ucdavis.pubs.curricunet.com/Preview/9/pbi
Plant Pathology,https://ucdavis.pubs.curricunet.com/Preview/9/plp
Plant Sciences,https://ucdavis.pubs.curricunet.com/Preview/9/pls
Political Science,https://ucdavis.pubs.curricunet.com/Preview/9/pol
Political Science—Public Service,https://ucdavis.pubs.curricunet.com/Preview/9/pol
Population Biology,https://ucdavis.pubs.curricunet.com/Preview/9/pbg
Psychology,https://ucdavis.pubs.curricunet.com/Preview/9/psc
Public Health Sciences,https://ucdavis.pubs.curricunet.com/Preview/9/sph
Religious Studies,https://ucdavis.pubs.curricunet.com/Preview/9/rst
Russian,https://ucdavis.pubs.curricunet.com/Preview/9/rus
Science & Technology Studies,https://ucdavis.pubs.curricunet.com/Preview/9/sts
Sociology,https://ucdavis.pubs.curricunet.com/Preview/9/soc
Sociology—Organizational Studies,https://ucdavis.pubs.curricunet.com/Preview/9/soc
Soils & Biogeochemistry,https://ucdavis.pubs.curricunet.com/Preview/9/soils-biogeochemistry-graduate-group
Spanish,https://ucdavis.pubs.curricunet.com/Preview/9/spa
Statistics,https://ucdavis.pubs.curricunet.com/Preview/9/sta
Study of Religion,https://ucdavis.pubs.curricunet.com/Preview/9/sor
Sustainable Agriculture & Food Systems,https://ucdavis.pubs.curricunet.com/Preview/9/saf
Sustainable Environmental Design,https://ucdavis.pubs.curricunet.com/Preview/9/sustainable-environmental-design
Teaching Credential,https://ucdavis.pubs.curricunet.com/Preview/9/teaching-credential
Textiles,https://ucdavis.pubs.curricunet.com/Preview/9/textiles-graduate-group
Theatre & Dance,https://ucdavis.pubs.curricunet.com/Preview/9/dra
Transportation Technology & Policy,https://ucdavis.pubs.curricunet.com/Preview/9/ttp
Veterinary Medicine,https://ucdavis.pubs.curricunet.com/Preview/9/veterinary-medicine
Viticulture & Enology,https://ucdavis.pubs.curricunet.com/Preview/9/ven
Viticulture & Enology,https://ucdavis.pubs.curricunet.com/Preview/9/viticulture-enology-graduate-group
"Wildlife, Fish, & Conservation Biology",https://ucdavis.pubs.curricunet.com/Preview/9/wfc
